    PID    PPID CMD                         %CPU
      3       2 [pool_workqueue_release]     0.0
      4       2 [kworker/R-rcu_gp]           0.0
      5       2 [kworker/R-sync_wq]          0.0
      6       2 [kworker/R-kvfree_rcu_recla  0.0
      7       2 [kworker/R-slub_flushwq]     0.0
      8       2 [kworker/R-netns]            0.0
     11       2 [kworker/0:0H-events_highpr  0.0
     12       2 [kworker/u48:0-events_unbou  0.0
     14       2 [kworker/R-mm_percpu_wq]     0.0
     17       2 [rcub/0]                     0.0
     18       2 [rcu_exp_par_gp_kthread_wor  0.0
     19       2 [rcu_exp_gp_kthread_worker]  0.0
     21       2 [idle_inject/0]              0.0
     22       2 [cpuhp/0]                    0.0
     23       2 [cpuhp/1]                    0.0
     24       2 [idle_inject/1]              0.0
     28       2 [kworker/1:0H-events_highpr  0.0
     29       2 [cpuhp/2]                    0.0
     30       2 [idle_inject/2]              0.0
     32       2 [ksoftirqd/2]                0.0
     34       2 [kworker/2:0H-events_highpr  0.0
     35       2 [cpuhp/3]                    0.0
     36       2 [idle_inject/3]              0.0
     38       2 [ksoftirqd/3]                0.0
     40       2 [kworker/3:0H-events_highpr  0.0
     41       2 [cpuhp/4]                    0.0
     42       2 [idle_inject/4]              0.0
     44       2 [ksoftirqd/4]                0.0
     46       2 [kworker/4:0H-events_highpr  0.0
     47       2 [cpuhp/5]                    0.0
     48       2 [idle_inject/5]              0.0
     50       2 [ksoftirqd/5]                0.0
     52       2 [kworker/5:0H-events_highpr  0.0
     53       2 [cpuhp/6]                    0.0
     54       2 [idle_inject/6]              0.0
     56       2 [ksoftirqd/6]                0.0
     58       2 [kworker/6:0H-events_highpr  0.0
     59       2 [cpuhp/7]                    0.0
     60       2 [idle_inject/7]              0.0
     64       2 [kworker/7:0H-events_highpr  0.0
     65       2 [cpuhp/8]                    0.0
     66       2 [idle_inject/8]              0.0
     68       2 [ksoftirqd/8]                0.0
     70       2 [kworker/8:0H-events_highpr  0.0
     71       2 [cpuhp/9]                    0.0
     72       2 [idle_inject/9]              0.0
     74       2 [ksoftirqd/9]                0.0
     76       2 [kworker/9:0H-events_highpr  0.0
     77       2 [cpuhp/10]                   0.0
     78       2 [idle_inject/10]             0.0
     80       2 [ksoftirqd/10]               0.0
     82       2 [kworker/10:0H-events_highp  0.0
     83       2 [cpuhp/11]                   0.0
     84       2 [idle_inject/11]             0.0
     86       2 [ksoftirqd/11]               0.0
     88       2 [kworker/11:0H-events_highp  0.0
     91       2 [kdevtmpfs]                  0.0
     92       2 [kworker/R-inet_frag_wq]     0.0
     93       2 [rcu_tasks_kthread]          0.0
     94       2 [rcu_tasks_rude_kthread]     0.0
     95       2 [rcu_tasks_trace_kthread]    0.0
     96       2 [kauditd]                    0.0
     99       2 [oom_reaper]                 0.0
    101       2 [kworker/R-writeback]        0.0
    103       2 [ksmd]                       0.0
    105       2 [kworker/R-kblockd]          0.0
    106       2 [kworker/R-blkcg_punt_bio]   0.0
    107       2 [kworker/R-kintegrityd]      0.0
    108       2 [irq/9-acpi]                 0.0
    112       2 [kworker/R-tpm_dev_wq]       0.0
    113       2 [kworker/R-ata_sff]          0.0
    114       2 [kworker/R-edac-poller]      0.0
    115       2 [kworker/R-devfreq_wq]       0.0
    116       2 [watchdogd]                  0.0
    118       2 [irq/25-AMD-Vi0-Evt]         0.0
    119       2 [irq/26-AMD-Vi0-PPR]         0.0
    120       2 [irq/27-AMD-Vi0-GA]          0.0
    121       2 [kswapd0]                    0.0
    122       2 [kworker/R-kthrotld]         0.0
    123       2 [kworker/u51:0-hci1]         0.0
    124       2 [irq/28-aerdrv]              0.0
    125       2 [irq/29-aerdrv]              0.0
    126       2 [irq/31-aerdrv]              0.0
    127       2 [irq/32-aerdrv]              0.0
    128       2 [irq/33-aerdrv]              0.0
    129       2 [irq/34-aerdrv]              0.0
    130       2 [kworker/R-acpi_thermal_pm]  0.0
    141       2 [scsi_eh_0]                  0.0
    142       2 [kworker/R-scsi_tmf_0]       0.0
    143       2 [scsi_eh_1]                  0.0
    144       2 [kworker/R-scsi_tmf_1]       0.0
    145       2 [scsi_eh_2]                  0.0
    146       2 [kworker/R-scsi_tmf_2]       0.0
    147       2 [scsi_eh_3]                  0.0
    148       2 [kworker/R-scsi_tmf_3]       0.0
    149       2 [scsi_eh_4]                  0.0
    150       2 [kworker/R-scsi_tmf_4]       0.0
    151       2 [scsi_eh_5]                  0.0
    152       2 [kworker/R-scsi_tmf_5]       0.0
    153       2 [scsi_eh_6]                  0.0
    154       2 [kworker/R-scsi_tmf_6]       0.0
    155       2 [scsi_eh_7]                  0.0
    156       2 [kworker/R-scsi_tmf_7]       0.0
    163       2 [scsi_eh_8]                  0.0
    164       2 [kworker/R-scsi_tmf_8]       0.0
    166       2 [scsi_eh_9]                  0.0
    167       2 [kworker/R-scsi_tmf_9]       0.0
    169       2 [kworker/R-mld]              0.0
    171       2 [kworker/R-ipv6_addrconf]    0.0
    178       2 [kworker/R-kstrp]            0.0
    182       2 [kworker/R-zswap-shrink]     0.0
    183       2 [kworker/u52:0-rb_allocator  0.0
    184       2 [kworker/u53:0-rb_allocator  0.0
    268       2 [scsi_eh_10]                 0.0
    269       2 [kworker/R-scsi_tmf_10]      0.0
